id,Strength
5407,48.81393
5408,20.266039
5409,33.930122
5410,48.03503
5411,36.494205
5412,42.676456
5413,34.585815
5414,23.081078
5415,45.38392
5416,37.107533
5417,43.896
5418,54.844646
5419,41.309143
5420,45.57467
5421,32.35268
5422,25.283905
5423,49.528065
5424,44.70297
5425,38.261227
5426,50.325203
5427,15.288782
5428,19.00244
5429,18.259563
5430,26.658539
5431,20.133692
5432,46.812737
5433,18.567554
5434,41.13453
5435,39.179432
5436,36.57123
5437,39.301983
5438,29.850489
5439,47.23747
5440,35.155754
5441,18.067284
5442,41.039497
5443,35.456493
5444,37.606422
5445,21.447542
5446,40.439068
5447,40.681072
5448,17.01483
5449,51.342094
5450,40.111942
5451,49.234093
5452,24.131998
5453,33.40097
5454,36.165516
5455,39.241447
5456,35.248768
5457,20.60567
5458,36.29465
5459,25.68825
5460,30.084284
5461,27.869734
5462,24.6072
5463,37.450573
5464,36.121967
5465,46.800335
5466,45.63319
5467,41.011833
5468,15.471198
5469,36.223507
5470,15.826589
5471,32.556747
5472,30.367056
5473,24.106213
5474,46.94507
5475,19.96565
5476,48.52625
5477,42.020924
5478,37.124416
5479,24.179274
5480,38.04294
5481,38.626694
5482,37.162518
5483,33.80359
5484,39.486652
5485,44.41731
5486,46.671463
5487,39.90499
5488,38.001442
5489,47.41363
5490,41.259026
5491,17.006601
5492,48.29393
5493,34.08668
5494,38.953957
5495,26.974325
5496,39.328484
5497,38.26296
5498,39.088657
5499,47.35401
5500,36.64407
5501,26.059074
5502,38.27874
5503,18.3416
5504,53.22091
5505,33.17367
5506,39.00671
5507,41.686028
5508,35.98062
5509,38.639355
5510,49.487072
5511,41.127804
5512,19.317019
5513,46.84554
5514,14.7285
5515,40.13888
5516,51.342094
5517,38.560654
5518,40.890976
5519,18.908373
5520,46.812737
5521,39.518147
5522,32.502
5523,40.05048
5524,14.677544
5525,30.629492
5526,15.244739
5527,36.63125
5528,29.787666
5529,50.33122
5530,39.233006
5531,47.139347
5532,54.302387
5533,26.549862
5534,46.7227
5535,12.779752
5536,49.636063
5537,15.419016
5538,41.54933
5539,18.86258
5540,23.867208
5541,40.417366
5542,20.304235
5543,52.161457
5544,21.04174
5545,37.247
5546,44.06498
5547,30.279203
5548,29.56587
5549,28.60977
5550,36.428955
5551,33.70748
5552,15.736043
5553,34.700176
5554,15.396425
5555,45.514023
5556,36.121967
5557,40.439068
5558,20.181683
5559,48.155018
5560,18.46754
5561,33.70748
5562,47.20447
5563,36.57123
5564,39.839493
5565,41.93124
5566,33.80535
5567,26.67847
5568,48.157482
5569,47.193733
